"Continente","Pais","Departamento","Ciudad","Population"
"Africa","Congo, The Democratic Republic of the","Bas-Zaïre","Matadi","172730"
"Africa","Congo, The Democratic Republic of the","Equateur","Mbandaka","169841"
"Africa","Congo, The Democratic Republic of the","East Kasai","Mwene-Ditu","137459"
"Africa","Congo, The Democratic Republic of the","Bas-Zaïre","Boma","135284"
"Africa","Congo, The Democratic Republic of the","South Kivu","Uvira","115590"
"Africa","Congo, The Democratic Republic of the","North Kivu","Butembo","109406"
"Africa","Congo, The Democratic Republic of the","North Kivu","Goma","109094"
"Africa","Congo, The Democratic Republic of the","Shaba","Kalemie","101309"
"Africa","Congo","Brazzaville","Brazzaville","950000"
"Africa","Congo","Kouilou","Pointe-Noire","500000"
"Oceania","Cook Islands","Rarotonga","Avarua","11900"
"South America","Colombia","Santafé de Bogotá","Santafé de Bogotá","6260862"
"South America","Colombia","Valle","Cali","2077386"
"South America","Colombia","Antioquia","Medellín","1861265"
"South America","Colombia","Atlántico","Barranquilla","1223260"
"South America","Colombia","Bolívar","Cartagena","805757"
"South America","Colombia","Norte de Santander","Cúcuta","606932"
"South America","Colombia","Santander","Bucaramanga","515555"
"South America","Colombia","Tolima","Ibagué","393664"
"South America","Colombia","Risaralda","Pereira","381725"
"South America","Colombia","Magdalena","Santa Marta","359147"
"South America","Colombia","Caldas","Manizales","337580"
"South America","Colombia","Antioquia","Bello","333470"
"South America","Colombia","Nariño","Pasto","332396"
"South America","Colombia","Huila","Neiva","300052"
"South America","Colombia","Atlántico","Soledad","295058"
"South America","Colombia","Quindío","Armenia","288977"
"South America","Colombia","Meta","Villavicencio","273140"
"South America","Colombia","Cundinamarca","Soacha","272058"
"South America","Colombia","Cesar","Valledupar","263247"
"South America","Colombia","Córdoba","Montería","248245"
"South America","Colombia","Antioquia","Itagüí","228985"
"South America","Colombia","Valle","Palmira","226509"
"South America","Colombia","Valle","Buenaventura","224336"
"South America","Colombia","Santander","Floridablanca","221913"
"South America","Colombia","Sucre","Sincelejo","220704"
"South America","Colombia","Cauca","Popayán","200719"
"South America","Colombia","Santander","Barrancabermeja","178020"
"South America","Colombia","Risaralda","Dos Quebradas","159363"
"South America","Colombia","Valle","Tuluá","152488"
"South America","Colombia","Antioquia","Envigado","135848"
"South America","Colombia","Valle","Cartago","125884"
"South America","Colombia","Cundinamarca","Girardot","110963"
"South America","Colombia","Valle","Buga","110699"
"South America","Colombia","Boyacá","Tunja","109740"
"South America","Colombia","Caquetá","Florencia","108574"
"South America","Colombia","La Guajira","Maicao","108053"
"South America","Colombia","Boyacá","Sogamoso","107728"
"South America","Colombia","Santander","Giron","90688"
"Africa","Comoros","Njazidja","Moroni","36000"
"Africa","Cape Verde","São Tiago","Praia","94800"
"North America","Costa Rica","San José","San José","339131"
"North America","Cuba","La Habana","La Habana","2256000"
"North America","Cuba","Santiago de Cuba","Santiago de Cuba","433180"
"North America","Cuba","Camagüey","Camagüey","298726"
"North America","Cuba","Holguín","Holguín","249492"
"North America","Cuba","Villa Clara","Santa Clara","207350"
"North America","Cuba","Guantánamo","Guantánamo","205078"
"North America","Cuba","Pinar del Río","Pinar del Río","142100"
"North America","Cuba","Granma","Bayamo","141000"
"North America","Cuba","Cienfuegos","Cienfuegos","132770"
"North America","Cuba","Las Tunas","Victoria de las Tunas","132350"
"North America","Cuba","Matanzas","Matanzas","123273"
"North America","Cuba","Granma","Manzanillo","109350"
"North America","Cuba","Sancti-Spíritus","Sancti-Spíritus","100751"
"North America","Cuba","Ciego de Ávila","Ciego de Ávila","98505"
"Oceania","Christmas Island","–","Flying Fish Cove","700"
"North America","Cayman Islands","Grand Cayman","George Town","19600"
"Asia","Cyprus","Nicosia","Nicosia","195000"
"Asia","Cyprus","Limassol","Limassol","154400"
"Europe","Czech Republic","Hlavní mesto Praha","Praha","1181126"
"Europe","Czech Republic","Jizní Morava","Brno","381862"
"Europe","Czech Republic","Severní Morava","Ostrava","320041"
"Europe","Czech Republic","Zapadní Cechy","Plzen","166759"
"Europe","Czech Republic","Severní Morava","Olomouc","102702"
"Europe","Czech Republic","Severní Cechy","Liberec","99155"
"Europe","Czech Republic","Jizní Cechy","Ceské Budejovice","98186"
"Europe","Czech Republic","Východní Cechy","Hradec Králové","98080"
"Europe","Czech Republic","Severní Cechy","Ústí nad Labem","95491"
"Europe","Czech Republic","Východní Cechy","Pardubice","91309"
"Europe","Germany","Berliini","Berlin","3386667"
"Europe","Germany","Hamburg","Hamburg","1704735"
"Europe","Germany","Baijeri","Munich [München]","1194560"
"Europe","Germany","Nordrhein-Westfalen","Köln","962507"
"Europe","Germany","Hessen","Frankfurt am Main","643821"
"Europe","Germany","Nordrhein-Westfalen","Essen","599515"
"Europe","Germany","Nordrhein-Westfalen","Dortmund","590213"
"Europe","Germany","Baden-Württemberg","Stuttgart","582443"
"Europe","Germany","Nordrhein-Westfalen","Düsseldorf","568855"
"Europe","Germany","Bremen","Bremen","540330"
"Europe","Germany","Nordrhein-Westfalen","Duisburg","519793"
"Europe","Germany","Niedersachsen","Hannover","514718"
"Europe","Germany","Saksi","Leipzig","489532"
"Europe","Germany","Baijeri","Nürnberg","486628"
"Europe","Germany","Saksi","Dresden","476668"
"Europe","Germany","Nordrhein-Westfalen","Bochum","392830"
"Europe","Germany","Nordrhein-Westfalen","Wuppertal","368993"
"Europe","Germany","Nordrhein-Westfalen","Bielefeld","321125"
"Europe","Germany","Baden-Württemberg","Mannheim","307730"
"Europe","Germany","Nordrhein-Westfalen","Bonn","301048"
"Europe","Germany","Nordrhein-Westfalen","Gelsenkirchen","281979"
"Europe","Germany","Baden-Württemberg","Karlsruhe","277204"
"Europe","Germany","Hessen","Wiesbaden","268716"
"Europe","Germany","Nordrhein-Westfalen","Münster","264670"
"Europe","Germany","Nordrhein-Westfalen","Mönchengladbach","263697"
"Europe","Germany","Saksi","Chemnitz","263222"
"Europe","Germany","Baijeri","Augsburg","254867"
"Europe","Germany","Anhalt Sachsen","Halle/Saale","254360"
"Europe","Germany","Niedersachsen","Braunschweig","246322"
"Europe","Germany","Nordrhein-Westfalen","Aachen","243825"
"Europe","Germany","Nordrhein-Westfalen","Krefeld","241769"
"Europe","Germany","Anhalt Sachsen","Magdeburg","235073"
"Europe","Germany","Schleswig-Holstein","Kiel","233795"
"Europe","Germany","Nordrhein-Westfalen","Oberhausen","222349"
"Europe","Germany","Schleswig-Holstein","Lübeck","213326"
"Europe","Germany","Nordrhein-Westfalen","Hagen","205201"
"Europe","Germany","Mecklenburg-Vorpomme","Rostock","203279"
"Europe","Germany","Baden-Württemberg","Freiburg im Breisgau","202455"
"Europe","Germany","Thüringen","Erfurt","201267"
"Europe","Germany","Hessen","Kassel","196211"
"Europe","Germany","Saarland","Saarbrücken","183836"
"Europe","Germany","Rheinland-Pfalz","Mainz","183134"
"Europe","Germany","Nordrhein-Westfalen","Hamm","181804"
"Europe","Germany","Nordrhein-Westfalen","Herne","175661"
"Europe","Germany","Nordrhein-Westfalen","Mülheim an der Ruhr","173895"
"Europe","Germany","Nordrhein-Westfalen","Solingen","165583"
"Europe","Germany","Niedersachsen","Osnabrück","164539"
"Europe","Germany","Rheinland-Pfalz","Ludwigshafen am Rhein","163771"
"Europe","Germany","Nordrhein-Westfalen","Leverkusen","160841"
"Europe","Germany","Niedersachsen","Oldenburg","154125"
"Europe","Germany","Nordrhein-Westfalen","Neuss","149702"
"Europe","Germany","Baden-Württemberg","Heidelberg","139672"
"Europe","Germany","Hessen","Darmstadt","137776"
"Europe","Germany","Nordrhein-Westfalen","Paderborn","137647"
"Europe","Germany","Brandenburg","Potsdam","128983"
"Europe","Germany","Baijeri","Würzburg","127350"
"Europe","Germany","Baijeri","Regensburg","125236"
"Europe","Germany","Nordrhein-Westfalen","Recklinghausen","125022"
"Europe","Germany","Niedersachsen","Göttingen","124775"
"Europe","Germany","Bremen","Bremerhaven","122735"
"Europe","Germany","Niedersachsen","Wolfsburg","121954"
"Europe","Germany","Nordrhein-Westfalen","Bottrop","121097"
"Europe","Germany","Nordrhein-Westfalen","Remscheid","120125"
"Europe","Germany","Baden-Württemberg","Heilbronn","119526"
"Europe","Germany","Baden-Württemberg","Pforzheim","117227"
"Europe","Germany","Hessen","Offenbach am Main","116627"
"Europe","Germany","Baden-Württemberg","Ulm","116103"
"Europe","Germany","Baijeri","Ingolstadt","114826"
"Europe","Germany","Thüringen","Gera","114718"
"Europe","Germany","Niedersachsen","Salzgitter","112934"
"Europe","Germany","Brandenburg","Cottbus","110894"
"Europe","Germany","Baden-Württemberg","Reutlingen","110343"
"Europe","Germany","Baijeri","Fürth","109771"
"Europe","Germany","Nordrhein-Westfalen","Siegen","109225"
"Europe","Germany","Rheinland-Pfalz","Koblenz","108003"
"Europe","Germany","Nordrhein-Westfalen","Moers","106837"
"Europe","Germany","Nordrhein-Westfalen","Bergisch Gladbach","106150"
"Europe","Germany","Saksi","Zwickau","104146"
"Europe","Germany","Niedersachsen","Hildesheim","104013"
"Europe","Germany","Nordrhein-Westfalen","Witten","103384"
"Europe","Germany","Mecklenburg-Vorpomme","Schwerin","102878"
"Europe","Germany","Baijeri","Erlangen","100750"
"Europe","Germany","Rheinland-Pfalz","Kaiserslautern","100025"
"Europe","Germany","Rheinland-Pfalz","Trier","99891"
"Europe","Germany","Thüringen","Jena","99779"
"Europe","Germany","Nordrhein-Westfalen","Iserlohn","99474"
"Europe","Germany","Nordrhein-Westfalen","Gütersloh","95028"
"Europe","Germany","Nordrhein-Westfalen","Marl","93735"
"Europe","Germany","Nordrhein-Westfalen","Lünen","92044"
"Europe","Germany","Nordrhein-Westfalen","Düren","91092"
"Europe","Germany","Nordrhein-Westfalen","Ratingen","90951"
"Europe","Germany","Nordrhein-Westfalen","Velbert","89881"
"Europe","Germany","Baden-Württemberg","Esslingen am Neckar","89667"
"Africa","Djibouti","Djibouti","Djibouti","383000"
"North America","Dominica","St George","Roseau","16243"
"Europe","Denmark","København","København","495699"
"Europe","Denmark","Århus","Århus","284846"
"Europe","Denmark","Fyn","Odense","183912"
"Europe","Denmark","Nordjylland","Aalborg","161161"
"Europe","Denmark","Frederiksberg","Frederiksberg","90327"
"North America","Dominican Republic","Distrito Nacional","Santo Domingo de Guzmán","1609966"
"North America","Dominican Republic","Santiago","Santiago de los Caballeros","365463"
"North America","Dominican Republic","La Romana","La Romana","140204"
"North America","Dominican Republic","San Pedro de Macorís","San Pedro de Macorís","124735"
"North America","Dominican Republic","Duarte","San Francisco de Macorís","108485"
"North America","Dominican Republic","Puerto Plata","San Felipe de Puerto Plata","89423"
"Africa","Algeria","Alger","Alger","2168000"
"Africa","Algeria","Oran","Oran","609823"
"Africa","Algeria","Constantine","Constantine","443727"
"Africa","Algeria","Annaba","Annaba","222518"
"Africa","Algeria","Batna","Batna","183377"
"Africa","Algeria","Sétif","Sétif","179055"
"Africa","Algeria","Sidi Bel Abbès","Sidi Bel Abbès","153106"
"Africa","Algeria","Skikda","Skikda","128747"
"Africa","Algeria","Biskra","Biskra","128281"
"Africa","Algeria","Blida","Blida (el-Boulaida)","127284"
"Africa","Algeria","Béjaïa","Béjaïa","117162"
"Africa","Algeria","Mostaganem","Mostaganem","115212"
"Africa","Algeria","Tébessa","Tébessa","112007"
"Africa","Algeria","Tlemcen","Tlemcen (Tilimsen)","110242"
"Africa","Algeria","Béchar","Béchar","107311"
"Africa","Algeria","Tiaret","Tiaret","100118"
"Africa","Algeria","Chlef","Ech-Chleff (el-Asnam)","96794"
"Africa","Algeria","Ghardaïa","Ghardaïa","89415"
"South America","Ecuador","Guayas","Guayaquil","2070040"
"South America","Ecuador","Pichincha","Quito","1573458"
"South America","Ecuador","Azuay","Cuenca","270353"
"South America","Ecuador","El Oro","Machala","210368"
"South America","Ecuador","Pichincha","Santo Domingo de los Colorados","202111"
"South America","Ecuador","Manabí","Portoviejo","176413"
"South America","Ecuador","Tungurahua","Ambato","169612"
"South America","Ecuador","Manabí","Manta","164739"
"South America","Ecuador","Guayas","Duran [Eloy Alfaro]","152514"
"South America","Ecuador","Imbabura","Ibarra","130643"
"South America","Ecuador","Los Ríos","Quevedo","129631"
"South America","Ecuador","Guayas","Milagro","124177"
"South America","Ecuador","Loja","Loja","123875"
"South America","Ecuador","Chimborazo","Ríobamba","123163"
"South America","Ecuador","Esmeraldas","Esmeraldas","123045"
"Africa","Egypt","Kairo","Cairo","6789479"
"Africa","Egypt","Aleksandria","Alexandria","3328196"
"Africa","Egypt","Giza","Giza","2221868"
"Africa","Egypt","al-Qalyubiya","Shubra al-Khayma","870716"
"Africa","Egypt","Port Said","Port Said","469533"
"Africa","Egypt","Suez","Suez","417610"
"Africa","Egypt","al-Gharbiya","al-Mahallat al-Kubra","395402"
"Africa","Egypt","al-Gharbiya","Tanta","371010"
"Africa","Egypt","al-Daqahliya","al-Mansura","369621"
"Africa","Egypt","Luxor","Luxor","360503"
"Africa","Egypt","Asyut","Asyut","343498"
"Africa","Egypt","al-Qalyubiya","Bahtim","275807"
"Africa","Egypt","al-Sharqiya","Zagazig","267351"
"Africa","Egypt","al-Faiyum","al-Faiyum","260964"
"Africa","Egypt","Ismailia","Ismailia","254477"
"Africa","Egypt","al-Buhayra","Kafr al-Dawwar","231978"
"Africa","Egypt","Assuan","Assuan","219017"
"Africa","Egypt","al-Buhayra","Damanhur","212203"
"Africa","Egypt","al-Minya","al-Minya","201360"
"Africa","Egypt","Bani Suwayf","Bani Suwayf","172032"
"Africa","Egypt","Qina","Qina","171275"
"Africa","Egypt","Sawhaj","Sawhaj","170125"
"Africa","Egypt","al-Minufiya","Shibin al-Kawm","159909"
"Africa","Egypt","Giza","Bulaq al-Dakrur","148787"
"Africa","Egypt","al-Qalyubiya","Banha","145792"
"Africa","Egypt","Giza","Warraq al-Arab","127108"
"Africa","Egypt","Kafr al-Shaykh","Kafr al-Shaykh","124819"
"Africa","Egypt","al-Minya","Mallawi","119283"
"Africa","Egypt","al-Sharqiya","Bilbays","113608"
"Africa","Egypt","al-Daqahliya","Mit Ghamr","101801"
"Africa","Egypt","Shamal Sina","al-Arish","100447"
"Africa","Egypt","al-Daqahliya","Talkha","97700"
"Africa","Egypt","al-Qalyubiya","Qalyub","97200"
"Africa","Egypt","Sawhaj","Jirja","95400"
"Africa","Egypt","Qina","Idfu","94200"
"Africa","Egypt","Giza","al-Hawamidiya","91700"
"Africa","Egypt","Kafr al-Shaykh","Disuq","91300"
"Africa","Eritrea","Maekel","Asmara","431000"
"Africa","Western Sahara","El-Aaiún","El-Aaiún","169000"
"Europe","Spain","Madrid","Madrid","2879052"
"Europe","Spain","Katalonia","Barcelona","1503451"
"Europe","Spain","Valencia","Valencia","739412"
"Europe","Spain","Andalusia","Sevilla","701927"
"Europe","Spain","Aragonia","Zaragoza","603367"
"Europe","Spain","Andalusia","Málaga","530553"
"Europe","Spain","Baskimaa","Bilbao","357589"
"Europe","Spain","Canary Islands","Las Palmas de Gran Canaria","354757"
"Europe","Spain","Murcia","Murcia","353504"
"Europe","Spain","Balears","Palma de Mallorca","326993"
"Europe","Spain","Castilla and León","Valladolid","319998"
"Europe","Spain","Andalusia","Córdoba","311708"
"Europe","Spain","Galicia","Vigo","283670"
"Europe","Spain","Valencia","Alicante [Alacant]","272432"
"Europe","Spain","Asturia","Gijón","267980"
"Europe","Spain","Katalonia","L´Hospitalet de Llobregat","247986"
"Europe","Spain","Andalusia","Granada","244767"
"Europe","Spain","Galicia","A Coruña (La Coruña)","243402"
"Europe","Spain","Baskimaa","Vitoria-Gasteiz","217154"
"Europe","Spain","Canary Islands","Santa Cruz de Tenerife","213050"
"Europe","Spain","Katalonia","Badalona","209635"
"Europe","Spain","Asturia","Oviedo","200453"
"Europe","Spain","Madrid","Móstoles","195351"
"Europe","Spain","Valencia","Elche [Elx]","193174"
"Europe","Spain","Katalonia","Sabadell","184859"
"Europe","Spain","Cantabria","Santander","184165"
"Europe","Spain","Andalusia","Jerez de la Frontera","182660"
"Europe","Spain","Navarra","Pamplona [Iruña]","180483"
"Europe","Spain","Baskimaa","Donostia-San Sebastián","179208"
"Europe","Spain","Murcia","Cartagena","177709"
"Europe","Spain","Madrid","Leganés","173163"
"Europe","Spain","Madrid","Fuenlabrada","171173"
"Europe","Spain","Andalusia","Almería","169027"
"Europe","Spain","Katalonia","Terrassa","168695"
"Europe","Spain","Madrid","Alcalá de Henares","164463"
"Europe","Spain","Castilla and León","Burgos","162802"
"Europe","Spain","Castilla and León","Salamanca","158720"
"Europe","Spain","Kastilia-La Mancha","Albacete","147527"
"Europe","Spain","Madrid","Getafe","145371"
"Europe","Spain","Andalusia","Cádiz","142449"
"Europe","Spain","Madrid","Alcorcón","142048"
"Europe","Spain","Andalusia","Huelva","140583"
"Europe","Spain","Castilla and León","León","139809"
"Europe","Spain","Valencia","Castellón de la Plana [Castell","139712"
"Europe","Spain","Extremadura","Badajoz","136613"
"Europe","Spain","Canary Islands","[San Cristóbal de] la Laguna","127945"
"Europe","Spain","La Rioja","Logroño","127093"
"Europe","Spain","Katalonia","Santa Coloma de Gramenet","120802"
"Europe","Spain","Katalonia","Tarragona","113016"
"Europe","Spain","Katalonia","Lleida (Lérida)","112207"
"Europe","Spain","Andalusia","Jaén","109247"
"Europe","Spain","Galicia","Ourense (Orense)","109120"
"Europe","Spain","Katalonia","Mataró","104095"
"Europe","Spain","Andalusia","Algeciras","103106"
"Europe","Spain","Andalusia","Marbella","101144"
"Europe","Spain","Baskimaa","Barakaldo","98212"
"Europe","Spain","Andalusia","Dos Hermanas","94591"
"Europe","Spain","Galicia","Santiago de Compostela","93745"
"Europe","Spain","Madrid","Torrejón de Ardoz","92262"
"Europe","Estonia","Harjumaa","Tallinn","403981"
"Europe","Estonia","Tartumaa","Tartu","101246"
"Africa","Ethiopia","Addis Abeba","Addis Abeba","2495000"
"Africa","Ethiopia","Dire Dawa","Dire Dawa","164851"
"Africa","Ethiopia","Oromia","Nazret","127842"
"Africa","Ethiopia","Amhara","Gonder","112249"
"Africa","Ethiopia","Amhara","Dese","97314"
"Africa","Ethiopia","Tigray","Mekele","96938"
"Africa","Ethiopia","Amhara","Bahir Dar","96140"
"Europe","Finland","Newmaa","Helsinki [Helsingfors]","555474"
"Europe","Finland","Newmaa","Espoo","213271"
"Europe","Finland","Pirkanmaa","Tampere","195468"
"Europe","Finland","Newmaa","Vantaa","178471"
"Europe","Finland","Varsinais-Suomi","Turku [Åbo]","172561"
"Europe","Finland","Pohjois-Pohjanmaa","Oulu","120753"
"Europe","Finland","Päijät-Häme","Lahti","96921"
"Oceania","Fiji Islands","Central","Suva","77366"
"South America","Falkland Islands","East Falkland","Stanley","1636"
"Europe","France","Île-de-France","Paris","2125246"
"Europe","France","Provence-Alpes-Côte","Marseille","798430"
"Europe","France","Rhône-Alpes","Lyon","445452"
"Europe","France","Midi-Pyrénées","Toulouse","390350"
"Europe","France","Provence-Alpes-Côte","Nice","342738"
"Europe","France","Pays de la Loire","Nantes","270251"
"Europe","France","Alsace","Strasbourg","264115"
"Europe","France","Languedoc-Roussillon","Montpellier","225392"
"Europe","France","Aquitaine","Bordeaux","215363"
"Europe","France","Haute-Normandie","Rennes","206229"
"Europe","France","Champagne-Ardenne","Le Havre","190905"
"Europe","France","Nord-Pas-de-Calais","Reims","187206"
"Europe","France","Rhône-Alpes","Lille","184657"
"Europe","France","Bretagne","St-Étienne","180210"
"Europe","France","Provence-Alpes-Côte","Toulon","160639"
"Europe","France","Rhône-Alpes","Grenoble","153317"
"Europe","France","Pays de la Loire","Angers","151279"
"Europe","France","Bourgogne","Dijon","149867"
"Europe","France","Bretagne","Brest","149634"
"Europe","France","Pays de la Loire","Le Mans","146105"
"Europe","France","Auvergne","Clermont-Ferrand","137140"
"Europe","France","Picardie","Amiens","135501"
"Europe","France","Provence-Alpes-Côte","Aix-en-Provence","134222"
"Europe","France","Limousin","Limoges","133968"
"Europe","France","Languedoc-Roussillon","Nîmes","133424"
"Europe","France","Centre","Tours","132820"
"Europe","France","Rhône-Alpes","Villeurbanne","124215"
"Europe","France","Lorraine","Metz","123776"
"Europe","France","Franche-Comté","Besançon","117733"
"Europe","France","Basse-Normandie","Caen","113987"
"Europe","France","Centre","Orléans","113126"
"Europe","France","Alsace","Mulhouse","110359"
"Europe","France","Haute-Normandie","Rouen","106592"
"Europe","France","Île-de-France","Boulogne-Billancourt","106367"
"Europe","France","Languedoc-Roussillon","Perpignan","105115"
"Europe","France","Lorraine","Nancy","103605"
"Europe","France","Nord-Pas-de-Calais","Roubaix","96984"
"Europe","France","Île-de-France","Argenteuil","93961"
"Europe","France","Nord-Pas-de-Calais","Tourcoing","93540"
"Europe","France","Île-de-France","Montreuil","90674"
"Europe","Faroe Islands","Streymoyar","Tórshavn","14542"
"Oceania","Micronesia, Federated States of","Chuuk","Weno","22000"
"Oceania","Micronesia, Federated States of","Pohnpei","Palikir","8600"
"Africa","Gabon","Estuaire","Libreville","419000"
"Europe","United Kingdom","England","London","7285000"
"Europe","United Kingdom","England","Birmingham","1013000"
"Europe","United Kingdom","Scotland","Glasgow","619680"
"Europe","United Kingdom","England","Liverpool","461000"
"Europe","United Kingdom","Scotland","Edinburgh","450180"
"Europe","United Kingdom","England","Sheffield","431607"
"Europe","United Kingdom","England","Manchester","430000"
"Europe","United Kingdom","England","Leeds","424194"
"Europe","United Kingdom","England","Bristol","402000"
"Europe","United Kingdom","Wales","Cardiff","321000"
"Europe","United Kingdom","England","Coventry","304000"
"Europe","United Kingdom","England","Leicester","294000"
"Europe","United Kingdom","England","Bradford","289376"
"Europe","United Kingdom","North Ireland","Belfast","287500"
"Europe","United Kingdom","England","Nottingham","287000"
"Europe","United Kingdom","England","Kingston upon Hull","262000"
"Europe","United Kingdom","England","Plymouth","253000"
"Europe","United Kingdom","England","Stoke-on-Trent","252000"
"Europe","United Kingdom","England","Wolverhampton","242000"
"Europe","United Kingdom","England","Derby","236000"
"Europe","United Kingdom","Wales","Swansea","230000"
"Europe","United Kingdom","England","Southampton","216000"
"Europe","United Kingdom","Scotland","Aberdeen","213070"
"Europe","United Kingdom","England","Northampton","196000"
"Europe","United Kingdom","England","Dudley","192171"
"Europe","United Kingdom","England","Portsmouth","190000"
"Europe","United Kingdom","England","Newcastle upon Tyne","189150"
"Europe","United Kingdom","England","Sunderland","183310"
"Europe","United Kingdom","England","Luton","183000"
"Europe","United Kingdom","England","Swindon","180000"
"Europe","United Kingdom","England","Southend-on-Sea","176000"
"Europe","United Kingdom","England","Walsall","174739"
"Europe","United Kingdom","England","Bournemouth","162000"
"Europe","United Kingdom","England","Peterborough","156000"
"Europe","United Kingdom","England","Brighton","156124"
"Europe","United Kingdom","England","Blackpool","151000"
"Europe","United Kingdom","Scotland","Dundee","146690"
"Europe","United Kingdom","England","West Bromwich","146386"
"Europe","United Kingdom","England","Reading","148000"
"Europe","United Kingdom","England","Oldbury/Smethwick (Warley)","145542"
"Europe","United Kingdom","England","Middlesbrough","145000"
"Europe","United Kingdom","England","Huddersfield","143726"
"Europe","United Kingdom","England","Oxford","144000"
"Europe","United Kingdom","England","Poole","141000"
"Europe","United Kingdom","England","Bolton","139020"
"Europe","United Kingdom","England","Blackburn","140000"
"Europe","United Kingdom","Wales","Newport","139000"
"Europe","United Kingdom","England","Preston","135000"
"Europe","United Kingdom","England","Stockport","132813"
"Europe","United Kingdom","England","Norwich","124000"
"Europe","United Kingdom","England","Rotherham","121380"
"Europe","United Kingdom","England","Cambridge","121000"
"Europe","United Kingdom","England","Watford","113080"
"Europe","United Kingdom","England","Ipswich","114000"
"Europe","United Kingdom","England","Slough","112000"
"Europe","United Kingdom","England","Exeter","111000"
"Europe","United Kingdom","England","Cheltenham","106000"
"Europe","United Kingdom","England","Gloucester","107000"
"Europe","United Kingdom","England","Saint Helens","106293"
"Europe","United Kingdom","England","Sutton Coldfield","106001"
"Europe","United Kingdom","England","York","104425"
"Europe","United Kingdom","England","Oldham","103931"
"Europe","United Kingdom","England","Basildon","100924"
"Europe","United Kingdom","England","Worthing","100000"
"Europe","United Kingdom","England","Chelmsford","97451"
"Europe","United Kingdom","England","Colchester","96063"
"Europe","United Kingdom","England","Crawley","97000"
"Europe","United Kingdom","England","Gillingham","92000"
"Europe","United Kingdom","England","Solihull","94531"
"Europe","United Kingdom","England","Rochdale","94313"
"Europe","United Kingdom","England","Birkenhead","93087"
"Europe","United Kingdom","England","Worcester","95000"
"Europe","United Kingdom","England","Hartlepool","92000"
"Europe","United Kingdom","England","Halifax","91069"
"Europe","United Kingdom","England","Woking/Byfleet","92000"
"Europe","United Kingdom","England","Southport","90959"
"Europe","United Kingdom","England","Maidstone","90878"
"Europe","United Kingdom","England","Eastbourne","90000"
"Europe","United Kingdom","England","Grimsby","89000"
"Europe","United Kingdom","Jersey","Saint Helier","27523"
"Europe","United Kingdom","–","Douglas","23487"
"Asia","Georgia","Tbilisi","Tbilisi","1235200"
"Asia","Georgia","Imereti","Kutaisi","240900"
"Asia","Georgia","Kvemo Kartli","Rustavi","155400"
"Asia","Georgia","Adzaria [Atšara]","Batumi","137700"
"Asia","Georgia","Abhasia [Aphazeti]","Sohumi","111700"
"Africa","Ghana","Greater Accra","Accra","1070000"
"Africa","Ghana","Ashanti","Kumasi","385192"
"Africa","Ghana","Northern","Tamale","151069"
"Africa","Ghana","Greater Accra","Tema","109975"
"Africa","Ghana","Western","Sekondi-Takoradi","103653"
"Europe","Gibraltar","–","Gibraltar","27025"
"Africa","Guinea","Conakry","Conakry","1090610"
"North America","Guadeloupe","Grande-Terre","Les Abymes","62947"
"North America","Guadeloupe","Basse-Terre","Basse-Terre","12433"
"Africa","Gambia","Kombo St Mary","Serekunda","102600"
"Africa","Gambia","Banjul","Banjul","42326"
"Africa","Guinea-Bissau","Bissau","Bissau","241000"
"Africa","Equatorial Guinea","Bioko","Malabo","40000"
"Europe","Greece","Attika","Athenai","772072"
"Europe","Greece","Central Macedonia","Thessaloniki","383967"
"Europe","Greece","Attika","Pireus","182671"
"Europe","Greece","West Greece","Patras","153344"
"Europe","Greece","Attika","Peristerion","137288"
"Europe","Greece","Crete","Herakleion","116178"
"Europe","Greece","Attika","Kallithea","114233"
"Europe","Greece","Thessalia","Larisa","113090"
"North America","Grenada","St George","Saint George´s","4621"
"North America","Greenland","Kitaa","Nuuk","13445"
"North America","Guatemala","Guatemala","Ciudad de Guatemala","823301"
"North America","Guatemala","Guatemala","Mixco","209791"
"North America","Guatemala","Guatemala","Villa Nueva","101295"
"North America","Guatemala","Quetzaltenango","Quetzaltenango","90801"
"South America","French Guiana","Cayenne","Cayenne","50699"
"Oceania","Guam","–","Tamuning","9500"
"Oceania","Guam","–","Agaña","1139"
"South America","Guyana","Georgetown","Georgetown","254000"
"Asia","Hong Kong","Kowloon and New Kowl","Kowloon and New Kowloon","1987996"
"Asia","Hong Kong","Hongkong","Victoria","1312637"
"North America","Honduras","Distrito Central","Tegucigalpa","813900"
"North America","Honduras","Cortés","San Pedro Sula","383900"
"North America","Honduras","Atlántida","La Ceiba","89200"
"Europe","Croatia","Grad Zagreb","Zagreb","706770"
"Europe","Croatia","Split-Dalmatia","Split","189388"
"Europe","Croatia","Primorje-Gorski Kota","Rijeka","167964"
"Europe","Croatia","Osijek-Baranja","Osijek","104761"
"North America","Haiti","Ouest","Port-au-Prince","884472"
"North America","Haiti","Ouest","Carrefour","290204"
"North America","Haiti","Ouest","Delmas","240429"
"North America","Haiti","Nord","Le-Cap-Haïtien","102233"
"Europe","Hungary","Budapest","Budapest","1811552"
"Europe","Hungary","Hajdú-Bihar","Debrecen","203648"
"Europe","Hungary","Borsod-Abaúj-Zemplén","Miskolc","172357"
"Europe","Hungary","Csongrád","Szeged","158158"
"Europe","Hungary","Baranya","Pécs","157332"
